,Date,Prev Close,Open,High,Low,Last,Close,Turnover
0,20000103,24.7,26.7,26.7,26.7,26.7,26.7,299307000000.0
1,20000104,26.7,27.0,28.7,26.5,27.0,26.85,638727500000.0
2,20000105,26.85,26.0,27.75,25.5,26.4,26.3,446298000000.0
3,20000106,26.3,25.8,27.0,25.8,25.9,25.95,268173000000.0
4,20000107,25.95,25.0,26.0,24.25,25.0,24.8,156722000000.0
5,20000110,24.8,25.05,26.5,25.0,25.0,25.0,162334000000.0
6,20000111,25.0,24.25,24.8,23.0,23.0,23.2,219172500000.0
7,20000112,23.2,22.6,24.5,22.6,24.0,24.0,77913500000.0
8,20000113,24.0,24.5,24.5,23.1,23.8,23.6,114795500000.0
9,20000114,23.6,24.0,24.2,22.5,23.5,23.25,71142500000.0
10,20000117,23.25,24.5,25.15,24.25,25.15,25.15,206737500000.0
11,20000118,25.15,26.5,26.5,24.3,25.15,24.9,275380500000.0
12,20000119,24.9,24.75,26.0,24.75,25.4,25.6,228266500000.0
13,20000120,25.6,26.1,26.25,24.3,24.4,24.45,259230500000.0
14,20000121,24.45,25.0,25.3,24.3,25.3,25.1,117257500000.0
15,20000124,25.1,25.6,25.75,24.6,24.6,24.8,256269000000.0
16,20000125,24.8,25.0,25.4,24.05,24.9,25.05,327898500000.0
17,20000127,25.05,25.85,27.05,25.25,27.05,27.05,539745500000.0
18,20000128,27.05,28.0,29.25,27.1,29.25,29.25,905025000000.0
19,20000131,29.25,31.0,31.6,30.1,31.6,31.6,996993000000.0
20,20000201,31.6,32.95,34.15,32.95,34.15,34.15,685569000000.0
21,20000202,34.15,36.9,36.9,36.9,36.9,36.9,242802000000.0
22,20000203,36.9,39.85,39.85,39.85,39.85,39.85,639194000000.0
23,20000204,39.85,43.05,43.05,43.05,43.05,43.05,261313500000.0
24,20000207,43.05,46.5,46.5,39.65,39.65,39.65,3237276000000.0
25,20000208,39.65,38.0,40.75,37.0,38.0,37.95,1645559000000.0
26,20000209,37.95,39.5,40.0,35.05,36.6,36.05,1045190000000.0
27,20000210,36.05,37.5,38.95,36.5,38.95,38.95,820385500000.0
28,20000211,38.95,42.1,42.1,42.1,42.1,42.1,546037000000.0
29,20000214,42.1,44.95,45.25,38.75,38.75,38.75,953054000000.0
30,20000215,38.75,37.25,37.25,35.65,35.65,35.65,1032643500000.0
31,20000216,35.65,37.0,38.5,36.0,38.5,38.1,781757000000.0
32,20000217,38.1,39.5,40.0,37.3,38.25,38.5,557174500000.0
33,20000218,38.5,37.55,37.75,35.5,36.7,36.6,370836500000.0
34,20000221,36.6,38.25,38.25,34.7,35.3,35.4,424269500000.0
35,20000222,35.4,37.2,38.0,33.3,33.55,33.75,644477500000.0
36,20000223,33.75,35.0,36.4,34.0,34.25,34.55,351321500000.0
37,20000224,34.55,37.35,37.35,33.0,37.35,37.35,892474000000.0
